playbook;techniques
p101;[]
p122;[{'1': 'FileHashReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'FileAnalysis'}]
p123;[{'1': 'FileHashReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'FileAnalysis'}]
p124;[{'1': 'IPReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p125;[{'1': 'IdentifierReputationAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'URLReputationAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p126;[{'1': 'IdentifierReputationAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'URLReputationAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p127;[{'1': 'DomainNameReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'URLReputationAnalysis'}]
p128;[{'1': 'SenderReputationAnalysis'}, {'2': 'SenderMTAReputationAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'IdentifierAnalysis'}]
p129;[{'1': 'FileHashReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'FileAnalysis'}]
p130;[{'1': 'FileHashReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'FileAnalysis'}]
p131;[{'1': 'FileHashReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'FileAnalysis'}]
p132;[{'1': 'IdentifierReputationAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'URLReputationAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p133;[{'1': 'IdentifierReputationAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'URLReputationAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p134;[{'1': 'IPReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p135;[{'1': 'IdentifierReputationAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'URLReputationAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p136;[{'1': 'IdentifierReputationAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'URLReputationAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p137;[{'1': 'IdentifierReputationAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'URLReputationAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p138;[{'1': 'URLReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p13;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p140;[{'1': 'IdentifierReputationAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'URLReputationAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p141;[{'1': 'URLReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p142;[]
p143;[]
p144;[]
p145;[]
p146;[]
p147;[]
p148;[{'1': 'UserGeolocationLogonPatternAnalysis'}, {'2': 'IPReputationAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'IdentifierAnalysis'}]
p14;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p150;[]
p151;[]
p152;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'ConnectionAttemptAnalysis'}]
p153;[]
p154;[]
p155;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'ConnectionAttemptAnalysis'}]
p156;[]
p157;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'ConnectionAttemptAnalysis'}]
p158;[{'1': 'IPReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p15;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p160;[]
p161;[]
p162;[]
p163;[]
p164;[]
p165;[]
p166;[]
p167;[]
p168;[]
p16;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p170;[]
p171;[]
p172;[]
p173;[]
p174;[]
p175;[]
p176;[]
p177;[]
p178;[]
p17;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p180;[]
p181;[]
p182;[{'1': 'FileHashReputationAnalysis'}, {'2': 'FileHashing'}, {'3': 'FileAnalysis'}, {'4': 'FileContentAnalysis'}]
p183;[{'1': 'SenderReputationAnalysis'}, {'2': 'MessageAnalysis'}, {'3': 'EmailFiltering'}, {'4': 'EmailRemoval'}]
p184;[{'1': 'IdentifierReputationAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierActivityAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p185;[]
p186;[{'1': 'DomainNameReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'IdentifierActivityAnalysis'}]
p187;[{'1': 'URLReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'IdentifierActivityAnalysis'}]
p188;[{'1': 'DomainNameReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'IdentifierActivityAnalysis'}]
p18;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p190;[{'1': 'FileHashReputationAnalysis'}, {'2': 'FileHashing'}, {'3': 'FileAnalysis'}, {'4': 'FileContentAnalysis'}]
p191;[{'1': 'IPReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'IdentifierActivityAnalysis'}]
p192;[{'1': 'URLReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'IdentifierActivityAnalysis'}]
p193;[{'1': 'IPReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'IdentifierActivityAnalysis'}]
p194;[{'1': 'AccessModeling'}, {'2': 'UserAccountPermissions'}, {'3': 'RestoreUserAccountAccess'}, {'4': 'RestoreAccess'}]
p195;[{'1': 'AccessModeling'}, {'2': 'UserAccountPermissions'}, {'3': 'RestoreUserAccountAccess'}, {'4': 'RestoreAccess'}]
p196;[{'1': 'ProcessAnalysis'}, {'2': 'FileHashReputationAnalysis'}, {'3': 'FileHashing'}, {'4': 'FileAnalysis'}]
p197;[{'1': 'DomainNameReputationAnalysis'}, {'2': 'URLReputationAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'IdentifierAnalysis'}]
p198;[{'1': 'DomainNameReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'IdentifierActivityAnalysis'}]
p19;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p200;[{'1': 'IdentifierReputationAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierActivityAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p201;[{'1': 'DynamicAnalysis'}, {'2': 'FileContentAnalysis'}, {'3': 'FileAnalysis'}, {'4': 'FileContentRules'}]
p202;[{'1': 'URLReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'IdentifierActivityAnalysis'}]
p203;[{'1': 'URLReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'IdentifierActivityAnalysis'}]
p204;[{'1': 'URLReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'IdentifierActivityAnalysis'}]
p205;[{'1': 'ConfigurationInventory'}, {'2': 'RestoreConfiguration'}, {'3': 'RestoreSoftware'}, {'4': 'RestoreObject'}]
p206;[{'1': 'AccessModeling'}, {'2': 'UserAccountPermissions'}, {'3': 'AccountLocking'}, {'4': 'RestoreUserAccountAccess'}]
p207;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
